"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.01,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.15,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",7.94,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.54,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",12.83,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",56.71,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",7.07,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",5.45,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",67.88,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2022-01-08T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",7734.24,"provisorisch"
"2022-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",13.49,"provisorisch"
"2022-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",4.62,"provisorisch"
"2022-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",18.71,"provisorisch"
