"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.56,"provisorisch"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.05,"provisorisch"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",73.5,"provisorisch"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",83.11,"provisorisch"
"2023-01-09T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.04,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.2,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",9.95,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",3.1,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",14.28,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",55.4,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",5.94,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",3.68,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",69.69,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",16428.64,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",15.18,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",5.94,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",19.93,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",52.71,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",5.58,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",2.92,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",68.66,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",9499.71,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",29.65,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",16.64,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",31.19,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",43.06,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",5.97,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",3,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",62.9,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
