date,station,quartier,temperature
2022-02-16T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,13.55
2022-02-16T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.93
2022-02-17T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,15.41
2022-02-17T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.16
2022-02-17T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.4
2022-02-18T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.14
2022-02-18T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.45
2022-02-18T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.37
2022-02-19T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.15
2022-02-19T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.13
2022-02-19T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.54
2022-02-20T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9.96
2022-02-20T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,10.29
2022-02-20T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.95
2022-02-21T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,9
2022-02-21T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,9.31
2022-02-21T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,9.24
2022-02-22T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.36
2022-02-22T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.59
2022-02-22T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.59
2022-02-23T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.26
2022-02-23T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.5
2022-02-23T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.26
2022-02-24T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.41
2022-02-24T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.2
2022-02-24T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.47
2022-02-25T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.66
2022-02-25T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,6.35
2022-02-25T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,6.63
2022-02-26T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,7.35
2022-02-26T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.27
2022-02-26T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,7.3
2022-02-27T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.14
2022-02-27T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,7.99
2022-02-27T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8
