quartier,pflanzjahr,tree_count,crown_sum,total_sum,tree_sum
Hard,2007,27,129,27,318
Hard,2008,76,323,76,394
Hard,2009,9,41,9,403
Hard,2010,128,595,128,531
Hard,2011,34,144,34,565
Hard,2012,253,977,253,818
Hard,2013,29,153,29,847
Hard,2014,30,126,30,877
Hard,2015,37,132,37,914
Hard,2016,25,61,25,939
Hard,2017,138,447,138,1077
Hard,2018,8,27,8,1085
Hard,2019,15,44,15,1100
Hard,2020,51,135,51,1151
Hard,2021,49,120,49,1200
Hard,2022,27,57,27,1227
Hard,2023,0,NA,NA,1227
Hirslanden,1983,1,6,1,1
Hirslanden,1984,1,7,1,2
Hirslanden,1985,2,16,2,4
Hirslanden,1986,1,9,1,5
Hirslanden,1987,0,NA,NA,5
Hirslanden,1988,2,16,2,7
Hirslanden,1989,2,20,2,9
Hirslanden,1990,10,105,10,19
Hirslanden,1991,6,50,6,25
Hirslanden,1992,4,32,4,29
Hirslanden,1993,1,8,1,30
Hirslanden,1994,0,NA,NA,30
Hirslanden,1995,7,52,7,37
Hirslanden,1996,4,24,4,41
Hirslanden,1997,0,NA,NA,41
Hirslanden,1998,1,8,1,42
Hirslanden,1999,0,NA,NA,42
Hirslanden,2000,143,1113,143,185
Hirslanden,2001,0,NA,NA,185
Hirslanden,2002,0,NA,NA,185
Hirslanden,2003,2,17,2,187
Hirslanden,2004,14,101,14,201
Hirslanden,2005,26,179,26,227
Hirslanden,2006,18,75,18,245
Hirslanden,2007,10,65,10,255
Hirslanden,2008,7,37,7,262
Hirslanden,2009,2,8,2,264
Hirslanden,2010,10,42,10,274
Hirslanden,2011,0,NA,NA,274
Hirslanden,2012,0,NA,NA,274
Hirslanden,2013,11,44,11,285
Hirslanden,2014,1,4,1,286
Hirslanden,2015,24,99,24,310
Hirslanden,2016,55,192,55,365
Hirslanden,2017,3,9,3,368
Hirslanden,2018,1,8,1,369
Hirslanden,2019,6,16,6,375
Hirslanden,2020,6,33,6,381
Hirslanden,2021,1,2,1,382
Hirslanden,2022,15,33,15,397
Hirslanden,2023,0,NA,NA,397
Hirzenbach,1983,0,NA,NA,0
Hirzenbach,1984,1,8,1,1
Hirzenbach,1985,18,166,18,19
Hirzenbach,1986,0,NA,NA,19
Hirzenbach,1987,1,6,1,20
Hirzenbach,1988,0,NA,NA,20
Hirzenbach,1989,0,NA,NA,20
Hirzenbach,1990,56,460,56,76
Hirzenbach,1991,0,NA,NA,76
Hirzenbach,1992,10,72,10,86
Hirzenbach,1993,0,NA,NA,86
Hirzenbach,1994,13,99,13,99
Hirzenbach,1995,35,248,35,134
Hirzenbach,1996,27,215,27,161
Hirzenbach,1997,4,23,4,165
Hirzenbach,1998,3,22,3,168
Hirzenbach,1999,2,10,2,170
Hirzenbach,2000,89,650,89,259
Hirzenbach,2001,4,26,4,263
Hirzenbach,2002,13,92,13,276
Hirzenbach,2003,23,107,23,299
Hirzenbach,2004,18,70,18,317
Hirzenbach,2005,81,456,81,398
Hirzenbach,2006,37,187,37,435
Hirzenbach,2007,5,18,5,440
Hirzenbach,2008,93,508,93,533
Hirzenbach,2009,16,110,16,549
Hirzenbach,2010,115,542,115,664
Hirzenbach,2011,36,252,36,700
Hirzenbach,2012,1,5,1,701
Hirzenbach,2013,10,22,10,711
Hirzenbach,2014,4,25,4,715
Hirzenbach,2015,26,142,26,741
Hirzenbach,2016,23,94,23,764
Hirzenbach,2017,7,29,7,771
Hirzenbach,2018,22,56,22,793
Hirzenbach,2019,50,142,50,843
Hirzenbach,2020,16,26,16,859
Hirzenbach,2021,16,30,16,875
Hirzenbach,2022,111,280,111,986
Hirzenbach,2023,0,NA,NA,986
Hochschulen,1983,0,NA,NA,0
Hochschulen,1984,0,NA,NA,0
Hochschulen,1985,3,24,3,3
Hochschulen,1986,6,42,6,9
Hochschulen,1987,0,NA,NA,9
Hochschulen,1988,6,38,6,15
Hochschulen,1989,0,NA,NA,15
Hochschulen,1990,9,96,9,24
Hochschulen,1991,2,7,2,26
Hochschulen,1992,0,NA,NA,26
Hochschulen,1993,0,NA,NA,26
Hochschulen,1994,0,NA,NA,26
Hochschulen,1995,2,18,2,28
Hochschulen,1996,0,NA,NA,28
Hochschulen,1997,2,15,2,30
Hochschulen,1998,0,NA,NA,30
Hochschulen,1999,1,8,1,31
Hochschulen,2000,58,456,58,89
Hochschulen,2001,0,NA,NA,89
Hochschulen,2002,0,NA,NA,89
Hochschulen,2003,1,4,1,90
Hochschulen,2004,0,NA,NA,90
Hochschulen,2005,3,14,3,93
Hochschulen,2006,0,NA,NA,93
Hochschulen,2007,1,5,1,94
Hochschulen,2008,4,25,4,98
Hochschulen,2009,4,23,4,102
Hochschulen,2010,1,5,1,103
Hochschulen,2011,15,49,15,118
Hochschulen,2012,1,5,1,119
Hochschulen,2013,52,294,52,171
Hochschulen,2014,3,13,3,174
Hochschulen,2015,2,6,2,176
Hochschulen,2016,1,3,1,177
Hochschulen,2017,0,NA,NA,177
Hochschulen,2018,8,32,8,185
Hochschulen,2019,4,13,4,189
Hochschulen,2020,27,78,27,216
Hochschulen,2021,2,6,2,218
Hochschulen,2022,1,3,1,219
Hochschulen,2023,0,NA,NA,219
Hottingen,1983,0,NA,NA,0
Hottingen,1984,1,12,1,1
Hottingen,1985,29,243,29,30
Hottingen,1986,1,7,1,31
Hottingen,1987,0,NA,NA,31
Hottingen,1988,3,18,3,34
Hottingen,1989,2,17,2,36
Hottingen,1990,33,275,33,69
Hottingen,1991,6,54,6,75
Hottingen,1992,10,71,10,85
Hottingen,1993,1,7,1,86
Hottingen,1994,1,8,1,87
Hottingen,1995,32,234,32,119
Hottingen,1996,2,12,2,121
