year,station,temperature
2022,Zch_Rosengartenstrasse,18.39
2022,Zch_Stampfenbachstrasse,13.96
2022,Zch_Schimmelstrasse,14.09
2022,Zch_Rosengartenstrasse,13.55
2022,Zch_Stampfenbachstrasse,11.01
2022,Zch_Schimmelstrasse,11.49
2022,Zch_Rosengartenstrasse,10.84
2022,Zch_Stampfenbachstrasse,6.49
2022,Zch_Schimmelstrasse,5.97
2022,Zch_Rosengartenstrasse,5.86
2022,Zch_Stampfenbachstrasse,2.3
2022,Zch_Schimmelstrasse,1.89
2022,Zch_Rosengartenstrasse,1.45
2022,Zch_Stampfenbachstrasse,3.15
2022,Zch_Schimmelstrasse,4.13
2022,Zch_Rosengartenstrasse,3.04
2022,Zch_Stampfenbachstrasse,8.2
2022,Zch_Schimmelstrasse,8.1
2022,Zch_Rosengartenstrasse,8.54
2022,Zch_Stampfenbachstrasse,10.98
2022,Zch_Schimmelstrasse,10.87
2022,Zch_Rosengartenstrasse,10.94
2022,Zch_Stampfenbachstrasse,16.71
2022,Zch_Schimmelstrasse,17.07
2022,Zch_Rosengartenstrasse,17.36
2022,Zch_Stampfenbachstrasse,13.18
2022,Zch_Schimmelstrasse,13.74
2022,Zch_Rosengartenstrasse,13.23
2022,Zch_Stampfenbachstrasse,15.07
2022,Zch_Schimmelstrasse,15.51
2022,Zch_Rosengartenstrasse,15.1
2022,Zch_Stampfenbachstrasse,11.85
2022,Zch_Schimmelstrasse,11.92
2022,Zch_Rosengartenstrasse,11.76
2022,Zch_Stampfenbachstrasse,10.83
2022,Zch_Schimmelstrasse,10.91
2022,Zch_Rosengartenstrasse,10.93
2022,Zch_Stampfenbachstrasse,16.64
2022,Zch_Schimmelstrasse,17.11
2022,Zch_Rosengartenstrasse,17.2
2022,Zch_Stampfenbachstrasse,20.88
2022,Zch_Schimmelstrasse,21.01
2022,Zch_Rosengartenstrasse,22.02
2022,Zch_Stampfenbachstrasse,23.07
2022,Zch_Schimmelstrasse,23.53
2022,Zch_Rosengartenstrasse,23.24
2022,Zch_Stampfenbachstrasse,22.82
2022,Zch_Schimmelstrasse,22.76
2022,Zch_Rosengartenstrasse,23.08
2022,Zch_Stampfenbachstrasse,20.3
2022,Zch_Schimmelstrasse,20.6
2022,Zch_Rosengartenstrasse,20.76
2022,Zch_Stampfenbachstrasse,14.36
2022,Zch_Schimmelstrasse,14.61
2022,Zch_Rosengartenstrasse,14.73
2022,Zch_Stampfenbachstrasse,15.52
2022,Zch_Schimmelstrasse,15.47
2022,Zch_Rosengartenstrasse,15.59
2022,Zch_Stampfenbachstrasse,17.22
2022,Zch_Schimmelstrasse,17.31
2022,Zch_Rosengartenstrasse,17.73
2022,Zch_Stampfenbachstrasse,18.77
2022,Zch_Schimmelstrasse,18.87
2022,Zch_Rosengartenstrasse,19.03
2022,Zch_Stampfenbachstrasse,16.38
2022,Zch_Schimmelstrasse,16.36
2022,Zch_Rosengartenstrasse,16.44
2022,Zch_Stampfenbachstrasse,17.7
2022,Zch_Schimmelstrasse,17.62
2022,Zch_Rosengartenstrasse,17.76
2022,Zch_Stampfenbachstrasse,17.62
2022,Zch_Schimmelstrasse,17.71
2022,Zch_Rosengartenstrasse,17.71
2022,Zch_Stampfenbachstrasse,14.1
2022,Zch_Schimmelstrasse,14.17
2022,Zch_Rosengartenstrasse,13.79
2022,Zch_Stampfenbachstrasse,12.1
2022,Zch_Schimmelstrasse,12.21
2022,Zch_Rosengartenstrasse,11.58
2022,Zch_Stampfenbachstrasse,13.93
2022,Zch_Schimmelstrasse,14.15
2022,Zch_Rosengartenstrasse,14.39
2022,Zch_Stampfenbachstrasse,13.16
2022,Zch_Schimmelstrasse,13.76
2022,Zch_Rosengartenstrasse,13.07
2022,Zch_Stampfenbachstrasse,16.17
2022,Zch_Schimmelstrasse,16.25
2022,Zch_Rosengartenstrasse,16.31
2022,Zch_Stampfenbachstrasse,18.74
2022,Zch_Schimmelstrasse,18.88
2022,Zch_Rosengartenstrasse,19.09
2022,Zch_Stampfenbachstrasse,19.47
2022,Zch_Schimmelstrasse,19.84
2022,Zch_Rosengartenstrasse,19.5
2022,Zch_Stampfenbachstrasse,15.63
2022,Zch_Schimmelstrasse,15.95
2022,Zch_Rosengartenstrasse,15.66
2022,Zch_Stampfenbachstrasse,16.6
2022,Zch_Schimmelstrasse,16.8
2022,Zch_Rosengartenstrasse,16.95
2022,Zch_Stampfenbachstrasse,19.49
2022,Zch_Schimmelstrasse,19.47
2022,Zch_Rosengartenstrasse,19.23
2022,Zch_Stampfenbachstrasse,19.78
2022,Zch_Schimmelstrasse,20.45
2022,Zch_Rosengartenstrasse,19.49
2022,Zch_Stampfenbachstrasse,19.38
2022,Zch_Schimmelstrasse,19.58
2022,Zch_Rosengartenstrasse,19.27
2022,Zch_Stampfenbachstrasse,15.32
2022,Zch_Schimmelstrasse,15.31
2022,Zch_Rosengartenstrasse,15.19
2022,Zch_Stampfenbachstrasse,14.93
2022,Zch_Schimmelstrasse,15.14
2022,Zch_Rosengartenstrasse,14.81
2022,Zch_Stampfenbachstrasse,17.69
2022,Zch_Schimmelstrasse,18.73
2022,Zch_Rosengartenstrasse,17.95
2022,Zch_Stampfenbachstrasse,18.18
2022,Zch_Schimmelstrasse,18.69
2022,Zch_Rosengartenstrasse,18.13
2022,Zch_Stampfenbachstrasse,21.15
2022,Zch_Schimmelstrasse,21.7
2022,Zch_Rosengartenstrasse,21.6
2022,Zch_Stampfenbachstrasse,24.56
2022,Zch_Schimmelstrasse,25.03
2022,Zch_Rosengartenstrasse,24.47
2022,Zch_Stampfenbachstrasse,27.57
2022,Zch_Schimmelstrasse,27.78
2022,Zch_Rosengartenstrasse,27.85
2022,Zch_Stampfenbachstrasse,27.58
2022,Zch_Schimmelstrasse,28.09
2022,Zch_Rosengartenstrasse,27.7
2022,Zch_Stampfenbachstrasse,20.05
2022,Zch_Schimmelstrasse,20.5
2022,Zch_Rosengartenstrasse,19.9
2022,Zch_Stampfenbachstrasse,24.54
2022,Zch_Schimmelstrasse,24.79
2022,Zch_Rosengartenstrasse,24.18
2022,Zch_Stampfenbachstrasse,26.92
2022,Zch_Schimmelstrasse,27.4
2022,Zch_Rosengartenstrasse,27.31
2022,Zch_Stampfenbachstrasse,24.81
2022,Zch_Schimmelstrasse,25.31
2022,Zch_Rosengartenstrasse,24.68
2022,Zch_Stampfenbachstrasse,25.36
2022,Zch_Schimmelstrasse,25.87
2022,Zch_Rosengartenstrasse,25.51
2022,Zch_Stampfenbachstrasse,27.85
2022,Zch_Schimmelstrasse,28.24
2022,Zch_Rosengartenstrasse,27.92
2022,Zch_Stampfenbachstrasse,29.03
2022,Zch_Schimmelstrasse,29.22
2022,Zch_Rosengartenstrasse,29
2022,Zch_Stampfenbachstrasse,31.37
2022,Zch_Schimmelstrasse,31.73
2022,Zch_Rosengartenstrasse,31.87
2022,Zch_Stampfenbachstrasse,24.48
2022,Zch_Schimmelstrasse,24.37
2022,Zch_Rosengartenstrasse,24.47
2022,Zch_Stampfenbachstrasse,24.81
2022,Zch_Schimmelstrasse,25.37
2022,Zch_Rosengartenstrasse,24.81
2022,Zch_Stampfenbachstrasse,25.72
2022,Zch_Schimmelstrasse,25.89
2022,Zch_Rosengartenstrasse,25.21
2022,Zch_Stampfenbachstrasse,17.45
2022,Zch_Schimmelstrasse,17.25
2022,Zch_Rosengartenstrasse,16.65
2022,Zch_Stampfenbachstrasse,21.49
2022,Zch_Schimmelstrasse,21.67
2022,Zch_Rosengartenstrasse,22.09
2022,Zch_Stampfenbachstrasse,22.27
2022,Zch_Schimmelstrasse,22.39
2022,Zch_Rosengartenstrasse,22.56
2022,Zch_Stampfenbachstrasse,22.42
2022,Zch_Schimmelstrasse,22.66
2022,Zch_Rosengartenstrasse,22.29
2022,Zch_Stampfenbachstrasse,18.92
2022,Zch_Schimmelstrasse,19.02
2022,Zch_Rosengartenstrasse,19.23
2022,Zch_Stampfenbachstrasse,16.45
2022,Zch_Schimmelstrasse,16.71
2022,Zch_Rosengartenstrasse,16.59
2022,Zch_Stampfenbachstrasse,19.4
2022,Zch_Schimmelstrasse,20.2
2022,Zch_Rosengartenstrasse,19.99
2022,Zch_Stampfenbachstrasse,20.45
2022,Zch_Schimmelstrasse,20.99
2022,Zch_Rosengartenstrasse,20.72
2022,Zch_Stampfenbachstrasse,20.26
2022,Zch_Schimmelstrasse,20.77
2022,Zch_Rosengartenstrasse,20.2
2022,Zch_Stampfenbachstrasse,23.03
2022,Zch_Schimmelstrasse,23.92
2022,Zch_Rosengartenstrasse,22.73
2022,Zch_Stampfenbachstrasse,26.12
2022,Zch_Schimmelstrasse,26.33
2022,Zch_Rosengartenstrasse,25.89
2022,Zch_Stampfenbachstrasse,27.61
2022,Zch_Schimmelstrasse,28.28
2022,Zch_Rosengartenstrasse,28.12
2022,Zch_Stampfenbachstrasse,22.88
2022,Zch_Schimmelstrasse,23.24
2022,Zch_Rosengartenstrasse,23.14
2022,Zch_Stampfenbachstrasse,24.5
2022,Zch_Schimmelstrasse,24.75
2022,Zch_Rosengartenstrasse,25.31
2022,Zch_Stampfenbachstrasse,19.33
2022,Zch_Schimmelstrasse,19.55
2022,Zch_Rosengartenstrasse,19.02
2022,Zch_Stampfenbachstrasse,22.47
2022,Zch_Schimmelstrasse,23.02
2022,Zch_Rosengartenstrasse,22.07
2022,Zch_Stampfenbachstrasse,17.38
2022,Zch_Schimmelstrasse,17.86
2022,Zch_Rosengartenstrasse,17.86
2022,Zch_Stampfenbachstrasse,22.37
2022,Zch_Schimmelstrasse,22.66
2022,Zch_Rosengartenstrasse,22.74
2022,Zch_Stampfenbachstrasse,26.34
2022,Zch_Schimmelstrasse,26.86
2022,Zch_Rosengartenstrasse,26.55
2022,Zch_Stampfenbachstrasse,29.8
2022,Zch_Schimmelstrasse,30.43
2022,Zch_Rosengartenstrasse,30.13
