"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-22T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.31,"provisorisch"
"2023-01-22T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.23,"provisorisch"
"2023-01-23T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.22,"provisorisch"
"2023-01-23T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-23T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",975.05,"provisorisch"
"2023-01-23T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",6,"provisorisch"
"2023-01-23T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.04,"provisorisch"
"2023-01-23T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.27,"provisorisch"
"2023-01-23T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.6,"provisorisch"
"2023-01-23T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.88,"provisorisch"
"2023-01-23T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.21,"provisorisch"
"2023-01-23T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.15,"provisorisch"
"2023-01-23T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.18,"provisorisch"
"2023-01-23T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.4,"provisorisch"
"2023-01-23T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2,"provisorisch"
"2023-01-24T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.13,"provisorisch"
"2023-01-24T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-24T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.5,"provisorisch"
"2023-01-24T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",17.21,"provisorisch"
"2023-01-24T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.86,"provisorisch"
