"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"WD-7235","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","264","POINT (2680550 1247815.9)"
"WD-7295","Acer palmatum","Fächer-Ahorn","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer palmatum","Parkbaum","265","POINT (2680543.5 1247933.5)"
"WD-7381","Thuja plicata","Riesen-Lebensbaum","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Thuja plicata","Parkbaum","266","POINT (2680486.8 1247737.8)"
"WD-7398","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","267","POINT (2680466 1247816.8)"
"WD-7463","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Laubbaum","Parkbaum","268","POINT (2680480.5 1247945.2)"
"WD-7468","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Laubbaum","Parkbaum","269","POINT (2680473.2 1247945)"
"WD-7526","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pseudotsuga menziesii","Parkbaum","270","POINT (2680272.8 1247929.1)"
"WD-7535","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula nigra","Parkbaum","271","POINT (2680264 1247929.2)"
"WD-7551","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","272","POINT (2680196 1247907.2)"
"WD-7552","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","273","POINT (2680200.8 1247913.9)"
"WD-7556","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer pseudoplatanus","Parkbaum","274","POINT (2680189.8 1247925.5)"
"WD-7569","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","275","POINT (2680194.8 1247891.8)"
"WD-7575","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","276","POINT (2680196.2 1247911.5)"
"WD-7621","Picea abies","Rottanne, Fichte","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pseudotsuga menziesii","Parkbaum","277","POINT (2680246 1247814.9)"
"WD-7648","Paulownia tomentosa","Blauglockenbaum","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Koelreuteria paniculata","Parkbaum","278","POINT (2680340 1247734.5)"
"WD-7718","Tilia x europaea 'Euchlora'","Krim-Linde (cordata x platyphyllos)","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Tilia x europaea 'Euchlora'","Parkbaum","279","POINT (2680286 1247841.6)"
"WD-7819","Tilia x europaea 'Euchlora'","Krim-Linde (cordata x platyphyllos)","FH Sihlfeld; Albisriederstrasse, 31","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Tilia x europaea 'Euchlora'","Parkbaum","280","POINT (2680383.5 1247903.6)"
"WD-5469","Robinia pseudoacacia","Robinie, Schein-Akazie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","überaltert","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia","Parkbaum","281","POINT (2680678.5 1247858.9)"
"WD-5515","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Koelreuteria paniculata","Parkbaum","282","POINT (2680633.2 1247674.8)"
"WD-5533","Fraxinus ornus","Blumen-Esche, Manna-Esche","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus ornus","Parkbaum","283","POINT (2680708.2 1247791.4)"
"WD-5534","Fraxinus ornus","Blumen-Esche, Manna-Esche","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus ornus","Parkbaum","284","POINT (2680705 1247791)"
"WD-5549","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","285","POINT (2680675.8 1247745.4)"
"WD-5605","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","286","POINT (2680624 1247713.5)"
"WD-6417","Aesculus x carnea 'Briotii'","Scharlach-Rosskastanie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Parkbaum","287","POINT (2680915.2 1247784)"
"WD-6613","Aesculus hippocastanum","Gemeine Rosskastanie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Parkbaum","288","POINT (2680820 1247727.8)"
"WD-6614","Aesculus hippocastanum","Gemeine Rosskastanie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus x carnea 'Briotii'","Parkbaum","289","POINT (2680829 1247728.9)"
"WD-6723","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","290","POINT (2680900.5 1247564.9)"
"WD-6763","Aesculus hippocastanum","Gemeine Rosskastanie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus hippocastanum","Parkbaum","291","POINT (2680783.5 1247601.1)"
"WD-6975","Robinia pseudoacacia","Robinie, Schein-Akazie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia","Parkbaum","292","POINT (2680852 1247428)"
"WD-6977","Robinia pseudoacacia","Robinie, Schein-Akazie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia 'Unifoliola'","Parkbaum","293","POINT (2680864.8 1247415.9)"
"WD-7041","Robinia pseudoacacia","Robinie, Schein-Akazie","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Robinia pseudoacacia","Parkbaum","294","POINT (2680694.5 1247504.9)"
"WD-7089","Betula pendula","Sand-Birke, Weiss-Birke","FH Sihlfeld; Aemtlerstrasse, 151","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Koelreuteria paniculata","Parkbaum","295","POINT (2680572.8 1247594.2)"
"WD-3702","Prunus padus","Trauben-Kirsche, Faulbaum","Freibad + Eisanlage Heuried; Wasserschöpfi, 71","Sihlfeld","Wiedikon","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus padus","Parkbaum","296","POINT (2680537.5 1246746)"
"WD-10155","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Gemeinschaftszentrum Heuried; Döltschiweg, 130","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Pinus heldreichii","Parkbaum","297","POINT (2680380.5 1246791.2)"
"WD-1558","Tilia platyphyllos","Sommer-Linde","Gutstrasse, 205","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Tilia x europaea 'Euchlora'","Strassenbaum","298","POINT (2680144 1247833.8)"
"WD-1567","Tilia cordata","Winter-Linde","Gutstrasse, 205","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Tilia cordata","Strassenbaum","299","POINT (2680201.5 1247761.2)"
"WD-4107","Betula pendula","Sand-Birke, Weiss-Birke","Heiligfeld; Kindergarten Letzigraben 1, 52-92","Sihlfeld","Wiedikon","überaltert","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Morus alba","Parkbaum","300","POINT (2680353.5 1248184)"
"WD-4137","Betula pendula","Sand-Birke, Weiss-Birke","Heiligfeld; Brahmsstrasse, 52-92","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula pendula","Parkbaum","301","POINT (2680419 1248243.6)"
"WD-4229","Quercus rubra","Amerikanische Rot-Eiche","Heiligfeld; Brahmsstrasse, 52-92","Sihlfeld","Wiedikon","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Quercus rubra","Parkbaum","302","POINT (2680402.8 1248160.5)"
"WD-4263","Gleditsia triacanthos","Gleditschie, Lederhülsenbaum","Heiligfeld; Brahmsstrasse, 52-92","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liriodendron tulipifera","Parkbaum","303","POINT (2680339.8 1248153.1)"
"WD-3249","Quercus coccinea 'Splendens'","Scharlach-Eiche","Höfliweg, 16-22","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus x turneri 'Pseudoturneri'","Parkbaum","304","POINT (2680998.5 1246975.6)"
"WD-3367","Salix cinerea","Grau-Weide, Asch-Weide","Höfliweg, 16-22","Sihlfeld","Wiedikon","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Castanea sativa 'Sauvage Marron'","Parkbaum","305","POINT (2680868 1247015.6)"
"AR-1160","Fraxinus excelsior 'Westhof's Glorie'","Strassen-Esche","Letzigraben, 5","Sihlfeld","Albisrieden","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Fraxinus excelsior 'Westhof's Glorie'","Parkbaum","306","POINT (2680081.5 1248036.2)"
"AR-1684","Robinia pseudoacacia","Robinie, Schein-Akazie","Letzigraben; Edelweissstrasse, 5","Sihlfeld","Albisrieden","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Koelreuteria paniculata","Parkbaum","307","POINT (2680034 1248051.1)"
"AR-1703","Betula pendula","Sand-Birke, Weiss-Birke","Letzigraben, 5","Sihlfeld","Albisrieden","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Castanea sativa 'Impériale'","Parkbaum","308","POINT (2680101 1248049.5)"
"AR-831","Cedrus libani ssp. atlantica","Atlas-Zeder","Letzigraben, 5","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Cedrus libani ssp. atlantica","Parkbaum","309","POINT (2680084.5 1248044.4)"
"AR-837","Picea omorika","Serbische Fichte","Letzigraben, 5","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Abies concolor","Parkbaum","310","POINT (2680109.8 1248063.2)"
"AR-838","Picea abies","Rottanne, Fichte","Letzigraben, 5","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","311","POINT (2680104.5 1248072.8)"
"AR-843","Acer campestre","Feld-Ahorn, Hecken-Ahorn","Letzigraben, 5","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer monspessulanum","Parkbaum","312","POINT (2680119 1248088.1)"
"AL-2063","Betula utilis","Himalaja-Birke","Letzigraben, 8","Sihlfeld","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Cedrus deodara","Parkbaum","313","POINT (2680352.2 1248324.9)"
"AL-2064","Betula utilis","Himalaja-Birke","Letzigraben, 8","Sihlfeld","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Betula utilis","Parkbaum","314","POINT (2680353 1248324.5)"
"AL-2242","Cedrus libani ssp. atlantica","Atlas-Zeder","Letzigraben, 8","Sihlfeld","Altstetten","Vandalismus","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Cedrus deodara","Parkbaum","315","POINT (2680358.8 1248333.6)"
"AR-772","Robinia pseudoacacia 'Bessoniana'","Robinie, Schein-Akazie","Letzigraben, 43","Sihlfeld","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus ornus 'Rotterdam'","Strassenbaum","316","POINT (2680247.5 1248189.2)"
"AR-542","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Letzigraben, 75","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium 'Plena'","Strassenbaum","317","POINT (2680174.5 1248113.2)"
"AR-771","Robinia pseudoacacia 'Bessoniana'","Robinie, Schein-Akazie","Letzigraben, 75","Sihlfeld","Albisrieden","Unfallschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Strassenbaum","318","POINT (2680148.8 1248085)"
"AR-1161","Robinia pseudoacacia 'Unifoliola'","Robinie, Schein-Akazie","Letzigraben, 89","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer rubrum 'Scanlon'","Strassenbaum","319","POINT (2680087.8 1248007.4)"
"WD-10120","Pinus nigra ssp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Paul-Clairmont-Strasse","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus heldreichii","Parkbaum","320","POINT (2680234.8 1246602.4)"
"WD-9725","Ailanthus altissima (m)","Götterbaum (männlich)","Paul-Clairmont-Strasse","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Castanea sativa 'Bouche de Betizac'","Parkbaum","321","POINT (2680342 1246599.8)"
"WD-2798","Robinia pseudoacacia 'Bessoniana'","Robinie, Schein-Akazie","Rotachstrasse, 30","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Laubbaum","Strassenbaum","322","POINT (2681300.5 1247224.6)"
"WD-1349","Gleditsia triacanthos f. inermis","Dornenlose Gleditschie","Schaufelbergerstrasse, 16","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Strassenbaum","323","POINT (2680435.2 1247449.8)"
"WD-1330","Acer cappadocicum 'Rubrum'","Kolchischer Ahorn","Schaufelbergerstrasse, 39","Sihlfeld","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer rubrum 'Autumn Flame'","Strassenbaum","324","POINT (2680336 1247252.2)"
"WD-6364","Carpinus betulus","Gemeine Hain- oder Weissbuche","Schulhaus Döltschi; Döltschiweg, 182","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Carpinus betulus","Parkbaum","325","POINT (2680107.2 1246438.1)"
"WD-4570","Tilia x europaea 'Euchlora'","Krim-Linde (cordata x platyphyllos)","Schulhaus Im Gut; Gutstrasse, 107","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Eucalyptus spec.","Parkbaum","326","POINT (2680402.5 1247264.2)"
"AR-515","Acer platanoides","Spitz-Ahorn","Schulhaus Utogrund; Dennlerstrasse, 55","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides 'Palmatifidum var. Lorbergii'","Parkbaum","327","POINT (2679858.8 1248214.6)"
"WD-4700","Carpinus betulus 'Fastigiata'","Gemeine Hain- oder Weissbuche (säulen- oder pyramidenförmig)","Schulhaus Zurlinden; Zurlindenstrasse, 137","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","in Abklärung","Carpinus betulus 'Fastigiata'","Parkbaum","328","POINT (2681479.8 1247338.6)"
"WD-1013","Prunus cerasifera 'Woodii'","Kirschpflaume","Schweighofstrasse","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium 'Plena'","Strassenbaum","329","POINT (2680447.5 1246404.6)"
"AR-2593","Platanus x hispanica","Platane (occidentalis x orientalis)","Sportplatz Utogrund; Dennlerstrasse, 43","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica 'Malburg'","Parkbaum","330","POINT (2679948 1248192.5)"
"AR-2595","Platanus x hispanica","Platane (occidentalis x orientalis)","Sportplatz Utogrund; Dennlerstrasse, 43","Sihlfeld","Albisrieden","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica 'Malburg'","Parkbaum","331","POINT (2679965.8 1248185.9)"
"WD-10657","Juglans regia (rotes Blatt)","Walnuss-Obstgehölz (rotes Blatt)","Triemlispital; Birmensdorferstrasse, 497","Sihlfeld","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Juglans regia (rotes Blatt)","Parkbaum","332","POINT (2680196 1246587.1)"
"WD-10753","Paulownia tomentosa","Blauglockenbaum","Triemlispital; Birmensdorferstrasse, 497","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","333","POINT (2679810.2 1246617)"
"WD-10760","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Triemlispital; Birmensdorferstrasse, 497","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus sylvestris","Parkbaum","334","POINT (2679760.2 1246664.2)"
"WD-10791","Acer cappadocicum","Kolchischer Ahorn","Triemlispital; Birmensdorferstrasse, 497","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","335","POINT (2679920.8 1246719.6)"
"WD-9539","Fraxinus ornus","Blumen-Esche, Manna-Esche","Triemlispital; Birmensdorferstrasse, 497","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus pennsylvanica 'Summit'","Parkbaum","336","POINT (2680167.8 1246577.1)"
"WD-677","Prunus cerasifera 'Woodii'","Kirschpflaume","Wasserschöpfi, 2","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus cerasifera 'Woodii'","Strassenbaum","337","POINT (2680826.8 1246583.2)"
"WD-4017","Betula pendula","Sand-Birke, Weiss-Birke","Wasserschöpfi, 75-77","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liriodendron tulipifera","Parkbaum","338","POINT (2680586.2 1246998.6)"
"WD-696","Sorbus intermedia","Oxelbeere, Schwedische Mehlbeere","Wasserschöpfi","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Sorbus intermedia","Strassenbaum","339","POINT (2680717 1246764.6)"
"WD-10208","Betula pendula","Sand-Birke, Weiss-Birke","Wiedinghof; Stationsstrasse, 48-58","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Liquidambar styraciflua 'Worplesdon'","Parkbaum","340","POINT (2681428.8 1247322.2)"
"WD-2601","Prunus 'Umineko'","Zier-Kirsche","Zentralstrasse, 136","Sihlfeld","Wiedikon","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus 'Umineko'","Strassenbaum","341","POINT (2681327 1247700.1)"
"WD-10663","Paulownia tomentosa","Blauglockenbaum","Zentrum Inselhof; Birmensdorferstrasse, 505","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","342","POINT (2679814.5 1246606.4)"
"WD-10664","Paulownia tomentosa","Blauglockenbaum","Zentrum Inselhof; Birmensdorferstrasse, 505","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","343","POINT (2679807.2 1246601.2)"
"WD-10665","Paulownia tomentosa","Blauglockenbaum","Zentrum Inselhof; Birmensdorferstrasse, 505","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","344","POINT (2679811.8 1246599.6)"
"WD-10666","Paulownia tomentosa","Blauglockenbaum","Zentrum Inselhof; Birmensdorferstrasse, 505","Sihlfeld","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","345","POINT (2679793.8 1246589.8)"
"WD-10962","Populus tremula","Zitter-Pappel, Espe","Zurlindenhof I; Zurlindenstrasse,","Sihlfeld","Wiedikon","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Ulmus 'Rebona'","Parkbaum","346","POINT (2681191.2 1247796.4)"
"AU-7761","Platanus x hispanica 'Malburg'","Platane (occidentalis x orientalis)","Badenerstrasse, 244","Wiedikon, Aussersihl","Aussersihl","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica 'Malburg'","Strassenbaum","347","POINT (2681494.5 1247746.6)"
"AU-1176","Aesculus hippocastanum 'Baumannii'","Gefülltblühende Rosskastanie","Baslerstrasse","Wiedikon, Aussersihl","Aussersihl","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Aesculus hippocastanum 'Baumannii'","Strassenbaum","348","POINT (2680433.2 1248707.5)"
"AU-5004","Aesculus hippocastanum 'Baumannii'","Gefülltblühende Rosskastanie","Bullingerstrasse, 89","Wiedikon, Aussersihl","Aussersihl","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Aesculus hippocastanum 'Baumannii'","Strassenbaum","349","POINT (2680824.8 1248452.9)"
"WD-12586","Quercus robur","Stiel-Eiche","FH Uetliberg; Borrweg, 253","Wiedikon, Aussersihl","Wiedikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus robur","Parkbaum","350","POINT (2680263 1245857.6)"
"AU-7796","Larix decidua","Europäische Lärche","Hardaupark; Hardstrasse,","Wiedikon, Aussersihl","Aussersihl","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Larix decidua","Parkbaum","351","POINT (2680827.2 1248228)"
"AU-6371","Carpinus betulus","Gemeine Hain- oder Weissbuche","Kindergarten Lochergut; Karl-Bürkli-Strasse, 7","Wiedikon, Aussersihl","Aussersihl","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Ostrya carpinifolia","Parkbaum","353","POINT (2681463.2 1247883.1)"
"WD-9008","Prunus domestica domestica cv.","Zwetschge-Obstgehölz, Sorte unbekannt","Kindergarten Meiliweg; Meiliweg, 6","Wiedikon, Aussersihl","Wiedikon","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus domestica domestica cv.","Parkbaum","354","POINT (2681439 1246861.5)"
"IQ-921","Quercus robur 'Fastigiate Koster'","Stiel-Eiche, säulenförmig","Pfingstweidstrasse","Wiedikon, Aussersihl","Industriequartier","abgestorben","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Quercus robur 'Fastigiate Koster'","Strassenbaum","356","POINT (2681467.2 1249126.8)"
"AU-6914","Fagus sylvatica","Rotbuche","Schulhaus Hard; Hohlstrasse, 236","Wiedikon, Aussersihl","Aussersihl","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fagus sylvatica","Parkbaum","358","POINT (2681394.8 1248537.9)"
"WD-9737","Prunus avium 'Plena'","Vogel-Kirsche, Süss-Kirsche (gefüllte)","Schweighofstrasse, 1","Wiedikon, Aussersihl","Wiedikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium 'Plena'","Strassenbaum","363","POINT (2681057 1245329)"
"WD-9987","Prunus avium","Vogel-Kirsche, Süss-Kirsche","Uetlibergstrasse, 208","Wiedikon, Aussersihl","Wiedikon","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Castanea sativa 'Bouche de Betizac'","Parkbaum","364","POINT (2681264.8 1245766.6)"
"AU-6952","Liquidambar styraciflua","Amberbaum","VBZ Busgarage Hardau; Bullingerstrasse, 89","Wiedikon, Aussersihl","Aussersihl","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liquidambar styraciflua","Parkbaum","365","POINT (2680729.8 1248356.4)"
"HG-4799","Fraxinus excelsior","Gemeine Esche","Breitensteinstrasse; Kloster-Fahr-Weg, gü 106","Wipkingen, Fluntern, Unter-, Oberstrass","Höngg","überaltert","Verkehrssicherheit (stand- oder bruchgefährdet)","natürlicher Aufwuchs, Gehölzgruppe","Fraxinus excelsior","Parkbaum","371","POINT (2681178.2 1249857.6)"
