"objid","baumnummer","geometry"
"134138","RI-1313","POINT (2686005.8 1245065.9)"
"204464","RI-5922","POINT (2685758.5 1244919.4)"
"127505","RI-1672","POINT (2686061.5 1244955.2)"
"230054","RI-6361","POINT (2685747.2 1244874.8)"
"127433","RI-1137","POINT (2685982.5 1245146.6)"
"223985","RI-6329","POINT (2685921.8 1244878.5)"
"208061","RI-6345","POINT (2685839 1244914.8)"
"127307","RI-1148","POINT (2685995.5 1245142.1)"
"101627","RI-1134","POINT (2685974.5 1245170.5)"
"213116","RI-6441","POINT (2685984.5 1245175)"
"89615","RI-1538","POINT (2686053.2 1244979.4)"
"89609","RI-1666","POINT (2686055.5 1244973.4)"
"89612","RI-1665","POINT (2686054.5 1244976.8)"
"94388","WO-6670","POINT (2681488.8 1244763)"
"113207","WO-7808","POINT (2681549 1244741.6)"
"155612","WO-6413","POINT (2681563 1244940.2)"
"113210","WO-7810","POINT (2681547.2 1244736.6)"
"155456","WO-6440","POINT (2681506.2 1244850.4)"
"155621","WO-6404","POINT (2681558.5 1244945.5)"
"155189","WO-6391","POINT (2681474 1244833.4)"
"226073","WD-3069","POINT (2681196.5 1245014.5)"
"139985","WO-6335","POINT (2681532.5 1244718.5)"
"201398","WO-6381","POINT (2681448.8 1244816.1)"
"113189","WO-7801","POINT (2681535.2 1244746)"
"135527","WO-6364","POINT (2681524.8 1244765.6)"
"113078","WO-7795","POINT (2681558.5 1244748)"
"155192","WO-5089","POINT (2681478.5 1244867.6)"
"139982","WO-6323","POINT (2681535.5 1244731.4)"
"94796","WO-6654","POINT (2681502.5 1244752.2)"
"110918","WD-10654","POINT (2681425.8 1244512)"
"110915","WD-10650","POINT (2681410.2 1244559.4)"
"155066","WO-6385","POINT (2681465.5 1244821.9)"
"166286","WO-6447","POINT (2681513.2 1244879)"
"112970","WO-7781","POINT (2681546 1244725.6)"
"112847","WO-7771","POINT (2681533.8 1244722)"
"112946","WO-7773","POINT (2681537.5 1244714.2)"
"155327","WO-6429","POINT (2681493 1244806)"
"155198","WO-6392","POINT (2681506.8 1244914.6)"
"113348","WO-7817","POINT (2681555.8 1244729.1)"
"155597","WO-6456","POINT (2681531.5 1244922.4)"
"113201","WO-7805","POINT (2681541 1244738.6)"
"155336","WO-6435","POINT (2681499.2 1244827.4)"
"94376","WO-6668","POINT (2681489.8 1244782)"
"94793","WO-6653","POINT (2681498.5 1244761.1)"
"155072","WO-6386","POINT (2681471 1244825.5)"
"155201","WO-6393","POINT (2681506 1244917.5)"
"97898","WD-10649","POINT (2681401.5 1244580.9)"
"97892","WD-10647","POINT (2681384.8 1244583.6)"
"98042","WD-10641","POINT (2681384 1245026.5)"
"113336","WO-7813","POINT (2681542.8 1244728.6)"
"232331","WO-8256","POINT (2681475.5 1244890.5)"
"233126","WD-3072","POINT (2681184.2 1244967.4)"
"155738","WO-6407","POINT (2681581.8 1244956.6)"
"97889","WD-10646","POINT (2681387.2 1244592.5)"
"176729","WO-3221","POINT (2681462.2 1244861.4)"
"155744","WO-6406","POINT (2681585.2 1244960.1)"
"155318","WO-6400","POINT (2681517.8 1244930.1)"
"97886","WD-10645","POINT (2681387.2 1244616.5)"
"139979","WO-6356","POINT (2681565.5 1244716.9)"
"231614","WO-6967","POINT (2681455.8 1244836.2)"
"176441","WO-6449","POINT (2681503.8 1244890.4)"
"155330","WO-6430","POINT (2681494 1244808.1)"
"228083","WO-6968","POINT (2681452.5 1244834.6)"
"113183","WO-7799","POINT (2681546.8 1244755)"
"188936","WO-6399","POINT (2681517 1244928.4)"
"209819","WO-6366","POINT (2681565.8 1244841.9)"
"154937","WO-6370","POINT (2681477.8 1244812.5)"
"228074","WO-6963","POINT (2681455.5 1244842)"
"155471","WO-6445","POINT (2681507.5 1244857.9)"
"155333","WO-6432","POINT (2681496.8 1244815.1)"
"163085","WO-6419","POINT (2681555.2 1244919.9)"
"155342","WO-6438","POINT (2681492.8 1244837.4)"
"155615","WO-6417","POINT (2681562.8 1244937.4)"
"176450","WO-6452","POINT (2681507.2 1244889.9)"
"233123","WD-3073","POINT (2681176.2 1244953.2)"
"113204","WO-7806","POINT (2681544.5 1244734.9)"
"139988","WO-6333","POINT (2681530.8 1244713.8)"
"228080","WO-6966","POINT (2681453.8 1244836.8)"
"113069","WO-7792","POINT (2681564 1244739.6)"
"93662","WO-6656","POINT (2681516 1244670)"
"155204","WO-6394","POINT (2681504.8 1244921.9)"
"201401","WO-6375","POINT (2681474.8 1244804.4)"
"155213","WO-6397","POINT (2681514 1244925.2)"
"163088","WO-6420","POINT (2681526.8 1244889.1)"
"155348","WO-6439","POINT (2681504.5 1244844.4)"
"155216","WO-6398","POINT (2681516 1244926.8)"
"196034","WO-6416","POINT (2681560 1244937.5)"
"131471","WD-10642","POINT (2681401 1245043.2)"
"155624","WO-6412","POINT (2681574 1244949.1)"
"155183","WO-6389","POINT (2681468.5 1244832.9)"
"113051","WO-7786","POINT (2681563 1244725.2)"
"154931","WO-6373","POINT (2681476 1244804.4)"
"155735","WO-6409","POINT (2681578.2 1244953.6)"
"166283","WO-6436","POINT (2681488 1244849.2)"
"155600","WO-6460","POINT (2681543.2 1244920.8)"
"112952","WO-7775","POINT (2681542.8 1244710.4)"
"113054","WO-7787","POINT (2681558.2 1244728.5)"
"163100","WO-6426","POINT (2681503 1244810.9)"
"112958","WO-7777","POINT (2681542 1244718.8)"
"112982","WO-7785","POINT (2681566.5 1244720.4)"
"226070","WD-3068","POINT (2681181.5 1245024.1)"
"110921","WD-10652","POINT (2681419.2 1244498.2)"
